Market Options 6 7 2020,,,,,,,
Symbol,Company Name,Last,Volume,Trades,Exercise Price,% Chg. (Close),+/- Chg. (Close)
,,,,,,,
FMGDT7,FORTESCUE  JUL-20C11,2.43,21,1,11.5,333.929,1.87
AGLMO7,AGL ENERGY JUL-20C18,0.13,30,1,18,225,0.09
WESWP7,WESFARMER  MAR-21C46,3.27,15,1,46,220.588,2.25
WESSU9,WESFARMER  JUL-20C46,0.6,20,4,46.51,185.714,0.39
BSLXM9,BLUESCOPE  SEP-20P11,1.22,200,1,11.25,180.46,0.785
OZLXH9,OZMINER    JUL-20C11,0.84,250,2,11,180,0.54
QBEI37,QBE INSUR. JUL-20C87,0.68,120,1,8.75,172,0.43
BSLJ77,BLUESCOPE  SEP-20P12,1.73,200,1,12.01,158.209,1.06
TLSK17,TELSTRA    SEP-20C33,0.16,127,2,3.31,146.154,0.095
CBA7U8,CWLTH BANK DEC-21P62,5.385,3,3,62,139.333,3.135
QBEF47,QBE INSUR. AUG-20C95,0.45,10,1,9.5,136.842,0.26
WBC0U7,WESTPAC    JUL-20C17,1.25,35,2,17.5,135.849,0.72
BSLFU7,BLUESCOPE  JUL-20P10,0.225,300,1,10.5,125,0.125
ILUXQ7,ILUKA RES  JUL-20C85,0.325,10,1,8.5,116.667,0.175
ORGRT7,ORIGIN ENE JUL-20C57,0.34,160,6,5.75,112.5,0.18
SGMWS7,SIMS METAL JUL-20P72,0.21,5,1,7.25,110,0.11
BSLF57,BLUESCOPE  JUL-20P11,1.02,3,1,11.75,108.163,0.53
TLS9G9,TELSTRA    AUG-20C31,0.33,4700,1,3.1,106.25,0.17
TLS5G7,TELSTRA    JUL-20C33,0.06,453,4,3.37,100,0.03
RDSOB,REDSTONE   OPT APR21,0.002,3655274,6,0.035,100,0.001
TLSQT8,TELSTRA    SEP-20C30,0.415,40,1,3.01,88.636,0.195
QBEKA7,QBE INSUR. JUL-20C82,1.11,10,1,8.25,88.136,0.52
SGPTK9,STOCKLAND. JUL-20C35,0.13,1000,2,3.5,85.714,0.06
CBAQA9,CWLTH BANK SEP-20C81,0.65,40,1,81.01,85.714,0.3
WTCUT7,WISETECH   JUL-20C20,1.3,150,2,20.5,80.556,0.58
KTAOC,KRAKATOA   OPT JUL21,0.045,1317141,21,0.05,80,0.02
WESTA8,WESFARMER  AUG-20C42,4.3,15,1,42.5,79.167,1.9
MQGRL7,MACQ GROUP AUG-20C11,12.32,4,1,114,78.551,5.42
MQGNT7,MACQ GROUP JUL-20C12,3.995,32,6,122,77.556,1.745
A2MM68,A2 MILK    SEP-20C20,1.445,1,1,20,76.22,0.625
COLD39,COLESGROUP AUG-20C17,0.79,5,1,17,75.556,0.34
MQGR87,MACQ GROUP JUL-20C11,8.85,7,1,116,73.529,3.75
XJOB88,S&P/ASX200 DEC-20C71,45,10,2,7100,73.077,19
RRLSF9,REGIS      JUL-20C49,0.535,100,1,4.9,72.581,0.225
BSLG17,BLUESCOPE  AUG-20P11,0.895,200,1,11,72.115,0.375
CBA3Q8,CWLTH BANK AUG-20C73,2.05,10,1,73.01,70.833,0.85
TLSQC8,TELSTRA    JUL-20C33,0.085,75,1,3.37,70,0.035
